News,Relevance
"Sarkar is of the position that the bank will be started even though there were many other proposals in the manifesto related to the common people, including farmers' problems, but they were not given importance.  They have forgotten all that they said that there will be no price rise for five years and that they will ensure adequate income to the farmers.  Kerala Bank cannot be forgotten.",yes
"IN A new study published in The Lancet, it has been estimated that more than one in four women in the world have experienced domestic violence during their lifetime. Using data from the World Health Organisation Global Database on the Prevalence of Violence Against Women, which covers 90% of women worldwide, the new estimate indicates that prior to the Covid-19 pandemic, 27% of ever-partnered women in the age group of 15-49 had experienced physical and/or sexual violence from an intimate partner in their lifetime, with one in seven (13%) experiencing violence from an intimate partner recently (within the past 12 months of the survey).",no
"All you need to know about statistics on case pendency, judicial vacancies and the efforts made by the Central government to address the ever-growing backlog. An allied issue that has been inextricably linked to case pendency - that of judicial vacancies - continues to loom large, with thousands of posts in lower courts and the High Court yet to be filled.",no
"India’s passport rules that require a transgender person to produce a certificate of gender reassignment surgery flies in the face of the Supreme court’s directive that trans people have a right to self choose their gender, the Delhi high court remarked on Monday. The government cannot insist somebody has to undergo a sex-change operation just to obtain a passport, said a bench comprising acting chief justice Vipin Sanghi and justice Navin Chawla.",yes
"12 Congress councilors resigned from a municipal council in the state to protest against violence against members of the Dalit community.  Meanwhile, the National Child Rights Commission has asked the state government to take strict action in the incident.",no
"A 40-year-old man, reportedly a property dealer, was shot dead in broad daylight inthe Noor Nagar area of Jamia Nagar in Delhi on Sunday. The deceased was identified as Waseem Sattar Ghazi, a resident of Allahdiya cottage in Jamia Nagar, reported The Times of India.",no
"The Enforcement Directorate has attached assets worth ₹757.77 crore of Amway India Enterprises Private Limited, which has been accused by the agency of running a multi-level marketing scam. In a statement, Amway India on Monday said, “The action of the authorities is with regards to the investigation dating back to 2011 and since then we have been cooperating with the department and have shared all the information as sought for from time to time since 2011. We will continue to cooperate with the relevant government authorities and the law officials towards a fair, legal, and logical conclusion of the outstanding issues...”",no
"Nearly eight million Egyptian women were victims of violence committed by their partners or relatives, or by strangers in public spaces, according to a United Nations survey conducted in 2015.",no
"Anne Heche, an actress who was as well known for her roles in films like “Six Days, Seven Nights” and “Donnie Brasco” as for her personal life, which included a three-year romance with the comedian Ellen DeGeneres, died on Sunday in Los Angeles, nine days after she was in a devastating car accident there. She was 53.",no
"Even though Kerala's figures are in the forefront in terms of education, the study of tribal students is still in crisis.  There is still no shortage of children who have to drop out of school for various reasons.  Every year, government departments take figures of Schedule category students who drop out.  The reasons for this will also make plans and provide funds to solve it.  However, it is still not possible to send children to school properly, to complete their studies or to achieve academic excellence.",yes
"About 48% of 8,210 consumers surveyed by LocalCircles mentioned frequent disruptions to their mobile services due to poor network availability and 44% were disgruntled with low data speeds. In another survey question that drew in 11,865 consumer responses, 66% said they experienced snags in at least one online transaction, forcing them to rely on alternate payment mechanisms such as cash, check or credit cards, according to a statement from LocalCircles.",yes
"The Galwan clashes, however, sent shockwaves across India, underlining China’s expansionist intentions. India has since then moved closer to the QUAD and focused on military modernisation. Indeed, the rivalry between India and China has intensified, and the struggle for power and status has taken new precedence. With the new Cold War lines solidifying and the Indo-Pacific region becoming a pivot of geopolitical churning—the role of South Asia has become more strategic.",no
Violence erupted in Bihar and Uttar Pradesh over irregularities in the Railways’ Non-Technical Popular Categories (NTPC) and Level-1 exams that has forced the national transporter to suspend its recruitment process and form a committee to address the issue.,yes
"According to official figures, 129 babies died in Attapadi in 10 years.  According to unofficial estimates, it is even higher.  Since 2013, child deaths in Attapadi have reached the outside world.  When the Indian Institute of Nutrition Science conducted a study, it was found that malnutrition in pregnant women is the cause of infant death.  The central and state governments have already spent around Rs 500 crore here to eradicate infant mortality.  Figures indicate that even though infrastructure development has taken place, the schemes are not able to eliminate infant mortality.",yes
Travelling in Kalka Shatabdi 12005. No water in the toilet and it is not clean. Please look into this @RailMinIndia @AshwiniVaishnaw,yes
"Born on August 5, 1974, Kajol is one of the finest actresses in the history of Indian cinema. While some say she is the best actress of her generation, many call her one of the most successful celebrities ever in the Hindi film industry. With so many blockbuster movies to her name, Kajol also shares the record for being the only actress to ever win six Filmfare Awards for Best Actress with her aunt, late legendary actress, Nutan. Not only this, but Kajol is also a proud recipient of the honourable Padma Shri award by the Government of India. The actress made her acting debut in Bollywood with the film, Bekhudi in 1992.",no
"Over Three years since the Delhi Development Authority’s (DDA) land pooling policy was notified in 2018, to consolidate parcels of land and use it for planned residential and commercial development in urban villages, the response to repeated calls for registration has not been encouraging. Landowners who have already applied too are beginning to turn skeptical about the avowed benefits of the policy.",yes
"According to the police, more than 300 cases are being registered against minors on average annually in the state. Most of these minor “criminals” are aged between 15 and 18, said the police. In Thiruvananthapuram especially, such cases are on the rise. As per the data available with the National Crime Records Bureau, 434 juveniles were detained in 327 cases registered in 2020 across the state.   A total of 286 children were later sent home with advice or admonition after sending them to juvenile detention centres for four months. As per the data, 92.3% of children involved in the crimes were held guilty in the state last year. Financial issues and lack of parental control are behind the increasing involvement of juveniles in crimes, confirms NCRB.",no
"India’s Road Construction Sector Issues and Challenges. There are many challenges being faced by the highway sector such as ensuring availability of construction materials and machinery, timely completion of projects, availability of trained human resources, and addressing concerns on road congestions and safety.",yes
There is heavy tax burden on motor transport in India. Tax burden per motor vehicle in India is Rs. 3500 while in America it is Rs. 860 and in Britain Rs. 470. This tax burden should be lowered.,yes
Flight operations were on Saturday affected at the Netaji Subhas Chandra Bose International Airport in Kolkata as the Air Traffic Control (ATC) faced problems in the automatic radar system due to failure of BSNL link from a number of destinations.,yes
Respected sir i have been travelling in a train since last 16 hrs .Everytime a bottle vendor passes by i asked them for rail neer (रेल नीर). And they say its no available. Instead they only offers water bottles of some other brand named X-lliant,yes
"Spinning mill worker problem should be solved immediately - Dr. V.  Sivadasan M.P .  Kannur: Dr. Kannur Spinning Mill workers' problems should be solved immediately  V.  Shivdasan asked M.P.  The MP demanded this while presenting the problems of Kannur Spinning and Weaving Mill workers as a special mention in the Rajya Sabha.  The Kannur Spinning and Weaving Mill in Kerala, which is run by the National Textiles Corporation, was closed last year and partially reopened following protests raised by the workers.  There has been a situation of closure again citing non-availability of raw materials.",yes
"In late February, the DDA’s vice-chairman Manish Gupta told The Hindu that the process of notifying the draft MPD - 2041 will “take six more months”, adding that the urban body was in the process of examining 33,000 suggestions and objections raised by the public, during the board of enquiry hearings that were held last year.",yes
"On Sunday afternoon, Prime Minister Narendra Modi claimed that there had not been any discussion of “even on the words National Register of Citizens” since 2014 – a claim contradicted by repeated statements over the past few months by his own home minister, Amit Shah, including in parliament, about a nationwide NRC. A couple of days earlier, a home ministry spokesperson had even clarified that the while the rules for a nationwide NRC had not been drafted, only “common documents” would be used to determine citizenship. Meanwhile, there were also other reports which quoted anonymous MHA officials as stating that “voter’s ID, Aadhaar and passport do not prove citizenship”.",yes
"There is a complaint that patients under the 'Arogya Kiranam' scheme, which provides comprehensive health care services for children below the age of 8 years, are not getting the benefits they deserve at the Kasaragod General Hospital.  The reason is that there is a huge amount of arrears.",yes
"The Mumbai Police Wednesday disposed of 3,092 kg drugs worth Rs 14.65 crore seized by its anti-narcotics cell (ANC) in the last one year. The drugs were seized in 26 cases, all of which are sub-judice. Here’s a look at the procedure of destroying drugs seized by the police and who has the authority to do it.",no
NAREDCO will help warehouse developers and operators in addressing the construction and land-related difficulties. It has signed a Memorandum of Understanding (MoU) with Warehousing Association of India (WAI) to resolve obstacles and issues that reg…,yes
Film Review: ‘Gadar’ is a class act in emotions and dramatic manipulations. The film is essentially about romantic love but it shows various facets of love through the many relationships and tragedies of the different characters.,no
"A man killed his estranged wife at a family court in Karnataka’s Hassan on Saturday, August 13, by allegedly slitting her throat, police said. Chaitra (28) and Shivakumar (32) had gone to the family court organised at Hole Narasipura. After the judge heard them, the court gave the couple the next date of hearing, Hassan Superintendent of Police (SP) Hariram Shankar told reporters. ""After one hour of counselling, Chaitra went to the washroom, where her husband Shivakumar slit her neck with a knife,” Shankar said. ",no
"Zimbabwe Cricket shared footage of the two teams training yesterday on Twitter.  It also has a picture of Malayalee star Sanju Samson training in the nets.  Following Zimbabwe's tweet, many people came to wish Sanju.  Earlier, before the BCCI India ODI series, the players of Zimbabwe and India are training hard.  Sanju's photo was also there when he shared the pictures of the team training.",no
"Measures like weeding out bogus driving licences, setting up modern drivers' training schools, the rectification of black spots, crash barriers, road safety audits, making BIS specified helmets mandatory and the imposition of hefty fines on violators by amending the Motor Vehicles Act have been taken but when in comes to implementation, authorities lack intent. The 'Good Samaritan' rules put in place by the authorities have not yet instilled confidence among the public, who still fear that they might land in trouble if they take an accident victim to the hospital.",yes
"Lack of land coupled with the lackadaisical attitude of the authorities is posing as a hurdle in the way of construction of public toilets in the city. Kochi, a fast-growing metro, has been facing the major problem of the dearth of public toilets for the past several years. NGOs that have stepped in to address the issue said that the authorities cited lack of available land. ""Absence of suitable land is the major hurdle for us in setting up public toilets in the city,"" said architect S Gopakumar of Better Kochi Response Group (BKRG), an NGO that is planning to construct toilets in 20 locations in the city. ",yes
"Air India may reduce dependence on its former ground-handling subsidiary, AIASL, as it responds to flight delays and customer complaints. It is exploring other options at airports served by AIASL. AIASL serves Air India at all airports except Delhi, Bengaluru, Hyderabad, Mangalore, and Thiruvananthapuram. At these five airports, ground handling is done by Air India's joint venture firm AISATS. Rajesh Dogra, the airline's head of customer experience and ground handling, listed eight issues of concern in a June 29 letter to AI Asset Holding Limited. These include staff shortage, discourteous behaviour with customers, old and dysfunctional equipment, mishandling of baggage and lack of effective governance by AIASL. AI Asset Holding controls AIASL.",yes
"The deal was always unusual for Abir Chatterjee this time around, for his new outing as Byomkesh Bakshi on the Bangla big screen is based on a story that was never completed. Director Arindam Sil and writer Padmanabha Dasgupta have drafted the screenplay of Byomkesh Hatyamancha (roughly translates to Byomkesh and The Curtain Call) from late novelist Saradindu Bandopadhyay’s unfinished story Bishupal Bawdh, or The Killing of Bishupal. The idea would have given the creative duo liberty to play around with an exciting core concept left unrealised by a genius mind.",no
"According to officials, about 17 Delhi Government schools have filed complaints against the PWD for non-completion of work, corruption, slow construction work in about 40 classes, heavy leakage in newly-constructed buildings, unfinished construction of washrooms and classrooms, light fittings, water, sewage line, ramps and steps, toilet bathrooms, and others.",yes
"“The formidable form of growing religious fanaticism in the country has raised its head again in many places. The brutal murders of activists of Hindu organizations in Kerala, Karnataka are an example of this menace. Series of dastardly acts revealing communal hysteria, rallies, demonstrations, violation of social discipline, custom and conventions under the guise of the Constitution and religious freedom, inciting violence by instigating meagre causes, promoting illegal activities, etc. is increasing,” the annual report, which was tabled at an RSS meeting in Ahmedabad, says.",no
"The Guru talked of modernity but he also enriched Indian culture and values. He talked of education and science but never shied away from raising the glory of the dharma, faith, and traditions of India. The Guru campaigned against social evils and made India aware of its reality. He fought a logical and practical fight against discrimination in the name of casteism, Mr .Modi said.",no
"With a promise to put economic security at the heart of its security strategy, Pakistan unveiled its first-ever National Security Policy on Friday. To long-standing Indian observers, the references to India in the unclassified version did not spring any surprises or mark a deviation from traditional Pakistani policy.",no
"@RailMinIndia Dear Sir/Madam, I am travelling from Khambalia to Anand in Saurashtra Mail. My coach number is B5. There is a group of passengers who are talking loudly while and listening to music. It's a bit annoying. Please advise.",yes
"When we think about what the post-colonial promise to the Dalits of India was, we immediately resort to the Constitution, which has allowed a humanist framework for making sense of our positions in the nation — where historically the Dalit community has been subjugated and othered by society. Where society has been evil to our community, the Constitution has given us an alternative dream for a better tomorrow. It strives to secure for all Indians, irrespective of caste, gender and religion, justice, liberty, equality and fraternity.",no
"Wife came in KBC hot seat & defamed me for undertrial case. So Slapped legal notice to KBC for providing platform for defamation for a subjudice matter. My wife for overtaking law & defaming me, announcing verdict. I don't have political links as her, but will fight till my last.",no
"Maharashtra | More than 50 persons were injured after 3 bogies of a train derailed in Gondia around 2.30 am at night. A collision b/w a goods train & passenger train led to this accident. No deaths reported. Train was on its way from Bilaspur, Chhattisgarh to Rajasthan's Jodhpur",no
"Viruman is an Indian Tamil-language masala film written and directed by M. Muthaiah and starring Karthi and debutant Aditi Shankar, while Rajkiran, Prakash Raj, Soori, Karunas, Vadivukkarasi, and Saranya Ponvannan play supporting roles. The film is produced by Jyothika and Suriya under 2D Entertainment. ",no
"According to the Washington Post report, the employees at Google who opposed her talk claimed that “their lives were at risk by the discussion of caste equity.” The report added that the mail went out to a South Asian employees group with 8,000 people. When Tanuja posted the link to a petition to have the talk again (after it had been pulled), people on the group said that there is no caste in the US, caste discrimination does not exist, people from oppressed castes are less educated, and so on. The report also added that people called caste equity a form of ‘reverse discrimination against upper castes’ because of India’s reservation system.",no
"The threat of another pilots' stir in Air India loomed large on Saturday, as one of its international flight was cancelled and two more delayed by over 16 hours after a section of pilots reported sick, apparently to protest against the rescheduling of the Boeing 787 Dreamliner training programme.",yes
" The Ambedkar Periyar Phule Study Circle (APPSC), a students cell for the students belonging to the Scheduled Caste (SC) and Scheduled Tribes (ST) communities of the Indian Institute of Technology (IIT) Bombay conducted an open house programme on caste issues today, June 29, 2022. The programme is being conducted to provide a space for the students of IIT Bombay to speak on their personal experiences, concerns and caste-related issues on the IITB campus. The event was held today at 5:30 pm at LH101, IIT Bombay.",no
"In an important verdict safeguarding the interest of women victims of domestic violence, the Supreme Court on Thursday gave a wide interpretation to the term ‘right to reside in a shared household’ under the law, holding it cannot be restricted to only actual matrimonial residence, but can be extended to other homes irrespective of right over the property.",no
"The stage carriage bus owners, who started the service in the hope that the tax will be exempted, are in financial crisis as they are unable to pay the road tax.  An application in Form G for exemption from road tax was not considered.  The government has decided to pay road tax for six months before December 31, 2021.  Not only that the government did not waive the road tax",yes
"Of all Black people, four in ten (41%) experienced discrimination based on their race or skin colour, about 15 times higher than the proportion among the non-Indigenous, non-visible minority population (3%)",no
"The interim wage hike in West Bengal is likely to adversely impact the margins of tea estates in the state that contributes 37 per cent to north India's production, a report said on Thursday. However, the impact would be lower for producers of quality tea, given the price premium they enjoy over the average market realisations, Icra said in a report.",yes
"Beware of Instant loan App fraud! State Bank of India shares 6 safety tips. Lately, there have been a host of reports on how Loan application frauds and racket groups are duping people of their hard earned money in the name of providing hassle-free loan.",no
"India and China have often competed for strategic dominance in the international and regional order, and continue to be embroiled in border disputes. Yet, despite their differences, the two have also cooperated in bilateral, regional, and multi-nation forums in the past.[2] It was in this spirit that Prime Minister Narendra Modi had worked to foster bonhomie with China by meeting President Xi Jinping in Ahmedabad, Wuhan, and Mamallapuram, at different times over 2014, 2018, and 2019.",no
Former Indian football team captain Baichung Bhutia on Tuesday labelled FIFA's decision to ban the All India Football Federation (AIFF) as harsh but said that it is a great opportunity for the country to get things in order.,no
"Indian Railways is undoubtedly the most affordable and comfortable means of transport as even if you plan your journey last minute, it is still way more affordable than air tickets and you will reach your destination in time. However, during emergencies or last-moment plans, passengers tend to go for ‘tatkal’ ticket booking where there’s a risk of not getting confirmation from IRCTC about the tickets. Passengers tend to face this problem due to the increase in demand and the chances of getting confirmation keep on decreasing. But no need to worry about it anymore as some easy steps can help you get confirmed tickets and you don’t need help from travel agents or anyone for this. ",yes
"As per Exception 2 to Section 375 (“the Exception”), Indian Penal Code, 1860 (“IPC”), any man who indulges in sexual activity with his own wife (the wife not being under eighteen years of age) will not be constituted as an offence of rape. This article gives an insight about the history of marriage and marital rape. It talks about the world wide status of marital rape. It further contains various case laws on marital rape along with the case of RIT Foundation v. Union of India & Ors. which is sub-judice before the Hon’ble Delhi High Court.",no
"However, the quality of India’s road infrastructure is very poor: only 3% of these roads are national highways, and 75% of highways are only two-lane. Roads are congested and road maintenance is under-funded. At the same time, 40% of the roads are dirt roads, and over 30% of villages have no access to all-weather roads.",yes
"The problem of poorly constructed roads is long engraved in India, not only in the rural areas but the issue concerns urban population alike. Potholes, roads under construction, poorly concreted speed breakers and down-and-out drainage system on the roads are a cause of increasing accidents, deaths and health problems in the country and also a source of exasperation, such as during the recent gigantic traffic jam in Gurgaon, in the region of the Indian capital.",yes
Kerala's own big bank is not a working class idea.  It is a product of globalization as well as of capitalist culture.  It is part of the ever-present communist illusion that the very people who are most opposed to globalization are adopting its cultures.,yes
"In a major setback and embarrassment for the country, world football governing body FIFA on Tuesday suspended India for ""undue influence from third parties""and said the U-17 Women's World Cup ""cannot currently be held in India as planned."" The country is scheduled to host its first FIFA event from October 11-30. This is the first time the All India Football Federation (AIFF) has been banned by FIFA in its 85 year history.",no
"Alia Bhatt emphasises that she is not a numbers person. It’s the stories that excite her. Yet, 2022 are digits that will remain etched in her memory. It’s a year dotted with milestones and happiness for the actor. The 29-year-old received accolades for her performance in Gangubai Kathiawadi, completed a decade in the industry and launched her production house, Eternal Sunshine Productions, whose debut film, Darlings, released on Netflix on August 5. On the personal front, she married actor Ranbir Kapoor in April and they are now parents-to-be. Bhatt couldn’t have scripted a tale more surreal than this.",no
"On 15 June 2020, Chinese troops, estimated to be more than 250, attacked a group of 50 Indian soldiers who were inspecting the progress of the Chinese withdrawal from the Indian side of the Line of Actual Control (LAC) in the Galwan Valley.[1] The encounter ended in the deaths of 20 Indian soldiers and an undeclared number of Chinese troops, and led to a prolonged standoff between the two sides along the LAC.",no
Premium car sales in Kerala are in crisis as the road tax on vehicles is much higher than other states.  Higher taxes not only affect sales of new vehicles but also sales of used vehicles.  Auto dealers say premium car users are switching to the practice of registering in other states and using them here.,yes
@RailMinIndia writing in early morning are the alarming situation for the #IRCTC travelling  in first class a/c with familu is looks like travelling in general coach the coaches are stinking badly linen given is dirty and stinking no attendants and drunk people enter into coaches,yes
"Air India has threatened to end its contract with its earlier ground handling unit due to the latter’s alleged deteriorating service standards which are delaying more of the carrier’s flights every month. The erstwhile state-run airline was acquired by the aviation-to-automobile conglomerate Tata Sons last year. Before the government sold it, it hived off its business units such as ground handling. The entity is named Air India Air Transport Services Ltd (AIASL). The units were transferred to a holding entity called Air India Asset Holding. ",yes
"India’s book publishers are facing new challenges after the Covid pandemic because of the high cost of raw materials and soaring inflation. Inflation, driven by high food and fuel prices, reached an 18-month high of 7.5% in April in India, according to a Reuters poll.",yes
"The Delhi Development Authority (DDA) is going to issue conditional notices for the formation of consortiums in four more sectors that have been identified as part of the urban body’s Land Pooling Policy (LPP), said a senior DDA official on Tuesday.",yes
"New venues need to be created to perform effectively so that foreigners can also enjoy it. Introducing other festivals that include giant ketturupadis and other festivals as part of tourism will help attract foreign tourists.  Art and cultural shows like Kathakali, Kalaripayat, Vallamkali, Pooram and Onagosham should be more effectively linked with tourism.",yes
"From being called the N-word while walking down a street, to a gay couple's uncomfortable conversations with wedding vendors, some residents of Petawawa, Ont., are opening up about their first-hand experience with racism and discrimination as community members push for the town to create a committee to tackle these issues.",no
"German MoFA spox referred to the issue in response to a question on a specific case, which is subjudice in India. With EU, such matters are broadly discussed within framework of India-EU Human Rights Dialogue.",no
AIMIM President Asaduddin Uwaisi has said that the central government has failed to ensure the protection of Kashmiri Pandits in the valley.  Article 370 was abrogated saying that it would benefit the Pandits.  Owaisi claimed that the Pandits are now unsafe as the government has failed to provide them security.,no
"A bank manager who transferred Rs 5.7 crore to a girlfriend he met on a dating app has been arrested.  Harishankar, the branch manager of the Indian Bank branch in Hanumanthanagar, Bengaluru, was arrested.  The arrest was made following a complaint filed by the Indian Bank Zonal Manager.  The court sent him to police custody for 10 days.",yes
"Public protests have rekindled in South Gujarat, nearly 21 years after the state government decided to float global bids for a second time to develop an all-weather, multipurpose port at Nargol village in Umargam taluka of Valsad district, known for its quaint beach, lined with tall casuarina trees and old Parsi dwellings.",yes
Poorest network in India Don't buy waste of money waste of time poor quality voice net surfing is also like tortoise. Say not to BSNL. POOREST NETWORK PROVIDER,yes
"The Delhi Police’s cyber cell has registered a case against unknown people for allegedly sending fraudulent emails using Security Printing and Minting Corporation of India Limited (SPMCIL) employees’ names, said officials Wednesday. The SPMCIL comes under the Union finance ministry and is responsible for printing currency, passport, security certificates and so on.",yes
"India seems to be facing a petrol and diesel shortage as fuel pumps have reportedly gone dry in several states including Uttarakhand, Rajasthan, Andhra Pradesh, and Madhya Pradesh. There have been long queues around fuel pumps in several parts of the country in the last few days as people rush to fill the fuel tanks of their vehicles.",yes
"The Airport Advisory Committee (AAC), chaired by Member of Parliament T R Baalu, on Monday discussed ways to ensure Chennai Airport doesn’t get flooded during heavy rains and suggested the diversion of Pammal drain near the airport boundary.Baalu chaired the meeting which was convened at Chennai International Airport on Monday to review developmental aspects and other issues pertaining to passenger facilitation. The drain has been an attraction for birds and the huge volume of sewage entering the airport may damage  the Instrument Landing Systems (ILS).",yes
"In a horrifying incident, a man allegedly slit his wife's throat on the premises of a local court in Karnataka, where the couple had gone for marriage counseling.  After the attack, Shivakumar tried to flee but was overpowered by bystanders and arrested. His wife Chaittra, who was bleeding profusely was taken to the hospital, where she died following treatment.  On Saturday, a Lok Adalat urged the couple to withdraw their divorce petition and settle the matter peacefully, taking the future of their child in mind. After roughly an hour of counseling, both of them agreed to withdraw their divorce petitions and live together for the sake of the child.",no
"FTX ki Tamil Nadu Grandmaster Keeeshtha Cup Champions Chess to Keyat. Score: 2.5-1.5. In the first match in Dutch, Indian number one player Anish Giri, teenage player R. Pragya's next coup was with Pragnananda. World competition. Seventeen-year-old Yudu Pragnananda is a member of the India B team where grandmaster Ali Rezafi won bronze in the Iranian-French World Chess Olympiad that concluded in Munni Balipuram recently among the junior players of the Chennai Maha Le.FTX ki Tamil Nadu Grandmaster Keeeshtha Cup Champions Chess to Keyat. Score: 2.5-1.5. In the first match in Dutch, Indian number one player Anish Giri, teenage player R. Pragya's next coup was with Pragnananda. World competition. Seventeen-year-old Yudu Pragnananda is a member of the India B team where grandmaster Ali Rezafi won bronze in the Iranian-French World Chess Olympiad that concluded in Munni Balipuram recently among the junior players of the Chennai Maha Le.",no
"The central team has found that many unauthorized works (construction of platforms for drying food grains, construction of trenches in forest areas) are being carried out under the employment guarantee scheme.  Irregularities in estimation, approval and execution of works related to sewage disposal, non-compliance of guidelines, irregularities in construction of trenches (eg plain areas were considered for such works instead of high areas), evasion of technical authority approval, violation of procedures, non-maintenance of proper records in gram panchayats were among the many problems identified by the central team.  It is mentioned in detail in the letter.",yes
"Apex auditor CAG on Tuesday pulled up the Land and Development Office for not having adequate control over its properties, saying it was not able to manage the lease administration efficiently as there was ""irregular"" inspection and ""inadequate"" documentation of the leased properties. The Comptroller and Auditor General of India (CAG) also said there was no sanctioned building plan in eight properties out of the sampled 29 properties, and the department had been demanding the same from the lessee. ",yes
"With relaxation in norms for allotment of flats under the Economically Weaker Section (EWS) scheme, the Delhi Development Authority is looking to hasten the disposal of its unsold housing inventory in the Janta category that has resulted in huge cash deficit over the years.",yes
" 3,500 road accidents last year due to potholes: Govt tells Parliament. The ministry of road transport and highways said that as many as 4,775 accidents occurred in 2019 due to potholes and 3,564 such accidents were reported in 2020.",yes
"The story of Indian Railways in 2021 was one of recovery and putting its house in order after a forced hiatus from the tracks for the first time in its history due to the coronavirus outbreak. The Railways has been completely dependent on its freight revenues for sustenance over the last two years, with the passenger segment running in loss in 2020 and gaining momentum only slowly with the removal of restrictions during the first half of this year. ",yes
"Hyderabad Justice K Surender of Telangana High Court has directed the Regional Passport Officer to issue a passport to one Katipally Revathi for a period of two years which was kept on hold by the passport office on account of pending criminal proceedings against her. The judge held that after the passport is issued, the petitioner, Revathi, has to deposit it with IV Additional Metropolitan Magistrate- cum-IV Additional Junior Civil Judge at L B Nagar.",yes
The former Spain youth international was originally considered a development player by the Premier League champions and was expected to go on loan to sister club Girona in the Spanish top-flight.,no
"18 health sub-centres like 3 Family Health Centres, 1 Community Health Centre, Tribal Specialty Hospital, 3 Ayurvedic Hospitals, 3 Homeo Dispensaries are functioning here.  Although there were announcements that a study center related to genetic diseases would be started at Attapadi, the facilities of the Kottathara Super Specialty Hospital could not even be increased.  Critically ill patients are transferred to Thrissur Medical College, District Hospital or Cooperative Hospitals in Perinthalmanna.",yes
"When children came to school after covid, they experienced two types of stress.  Social anxiety and learning loss.  The government and the school management did not pay much attention to the student-friendly environment, which has removed the anxiety of the children in the post-covid school opening.  Social anxiety is more common among children from class 8 onwards.  From being used to seeing only a few members at home, the children soon had to face large groups of hundreds and even 200. ",yes
"India, too, has tripled its highways over the same duration, but the network is far less impressive. They are lower quality, narrower, less well maintained and only make up a very small part of the total system of roads in the country.",yes
BSNL is probably the only organization which extorts money without giving any Service. I am now trapped in two BSNL connections which are billed every month without connection at my residence. They won't deactivate my account so they can bill me. The term extortion was associated with antisocials but BSNL also does the same. No wonder BSNL is a loss making sick company wasting taxpayers money.,yes
Consumers are facing shortage of petrol and diesel in various parts of the country as the indefinite strike of state-owned oil companies' officers continued for the second day. About 30% of 400-odd petrol pumps were running dry in the Capital and the condition in other major metros including Mumbai was the same.,yes
" The government is not ready to extend the deadline for tax payment without Penalty. More than 80 percent of the bus owners have not been able to pay the road tax.  Bus owners who are unable to pay the tax will now be able to pay the tax only with a ten percent fine.  After this January, the tax can be paid only with a 20 percent penalty.  Every bus owner has to pay quarterly tax ranging from Rs.20000 to Rs.36000 for every three months.  The bus owners who do not get enough income from the buses to pump diesel and even pay the wages to the workers are unable to pay the road tax.  The government charges exorbitant interest from such bus owners.",yes
" To ensure transparency and fair play, governments the world over have enacted anti-bribery and anti-corruption legislation, many of which are extra-territorial in nature. Prime examples are the Foreign Corrupt Practices Act, 1988 (FCPA) and the United Kingdom Bribery Act, 2010. As a result, it has become very important for businesses to ensure that they are in compliance with the anti-corruption laws of not only their own country, but also of countries where they do business. Navigating the breadth and contours of various domestic and international anti-corruption legislation can be a challenging task, and any trip-up can have significant reputational and monetary consequences.",no
"According to the 2019 General Social Survey (GSS) on Canadians’ Safety, nearly half (46%) of Black people aged 15 years and older reported experiencing at least one form of discrimination in the past 5 years, compared to 16% of the non-Indigenous, non-visible minority population.",no
"The situation is likely to deteriorate further as the government is unwilling to relent under pressure, negotiators involved in crisis resolution said. While the officers are demanding a better pay package, the government says that their recently revised salaries are among best paid in the industry at a time when people are losing jobs due to the economic slowdown.",yes
"Go First's Mumbai-Leh flight was diverted to Delhi as a fault was observed in engine number 2 on Tuesday, DGCA officials said. Go First's Srinagar-Delhi flight also returned to Srinagar after the aircraft's engine number 2 showed a fault mid-air.",yes
"Due to the incessant rains and floods in Kerala, the revenue that should be generated in the tourism sector is being washed away.  Bookings have been canceled in droves ever since the news of the opening of the dams came out.  Rains and abnormally high water levels are holding tourists back.  Due to continuous opening of dams, most water bodies and rivers are full.",yes
"There is a widespread campaign on social media against the state government's child nutrition scheme.  It is alleged that the central government's Akshaya Patram scheme is being implemented in the state in the name of 'Nutritious children'.  Even before the state-level inauguration of the project, there were strong campaigns against it in the social media.",yes
"The impact of Coronavirus on the Indian real estate sector was stifling to the point that it brought property transactions to a near-halt when the nation went into a complete lockdown during both waves. Since then, the market has taken several strides towards recovery, and just when it seemed the revival was not far, the country is struck by another variant of the virus, Omicron. However, it is too early to predict whether the emerging variant will have repercussions on housing demand and sales or not.",yes
"For much of June, several cities across the country have witnessed petrol pumps rationing supplies or shutting due to non-availability of fuel, leading to concerns about shortages and triggering panic buying among some consumers.",yes
"Director Muthaiya has developed a reputation as being one of the few Tamil directors, who can pull off films about rural Tamil Nadu. Yet, his movies offer nothing substantial about the villages and the people inhabiting them. The mere aesthetics of his films are mistaken for genuine representations of rural life. While Karthi has repeated his look from his debut project Paruthiveeran in this film, Viruman is no match for Ameer’s 2007 tragic drama. Of course, Muthaiya doesn’t pretend to make slice-of-life affairs.",no
"Due to heavy rain on July 5, thousands of passengers struggled to reach their workplaces as local train services were running late by 10-15 minutes. Mumbai has been witnessing heavy rain since last few days. The India Metrorological Department (IMD) issued heavy to very heavy rain alert for Mumbai and Thane. Western coast including Mumbai, Thane, Ratnagiri under heavy rains alert for rains until July 15. ",yes
